track_id,track_artist,artist,track
0,DNA.;Kendrick Lamar,Kendrick Lamar,DNA.
409,Come as You Are;Nirvana,Nirvana,Come as You Are
410,Love Me Now;John Legend,John Legend,Love Me Now
411,Tove Lo;True Disaster,True Disaster,Tove Lo
412,Little Red Corvette;Prince,Prince,Little Red Corvette
413,Rhythm Nation;Janet,Janet,Rhythm Nation
414,Hot Stuff;Donna Summer,Donna Summer,Hot Stuff
415,I'm The One;DJ Khaled,DJ Khaled,I'm The One
416,I'm Yours;Jason Mraz,Jason Mraz,I'm Yours
417,Down;Prince,Prince,Down
418,Heart of Glas;Blondie,Blondie,Heart of Glas
419,We Can't Be Friends;Deborah Cox,Deborah Cox,We Can't Be Friends
420,In Ibiza;Mike Posner,Mike Posner,In Ibiza
421,Jesus Children of America;Stevie Wonder,Stevie Wonder,Jesus Children of America
422,Walk of Life;Dire Straits,Dire Straits,Walk of Life
423,Lonely;The Beatles,The Beatles,Lonely
424,Girlfriend;Nao,Nao,Girlfriend
425,Party;The Weeknd,The Weeknd,Party
426,Help;Pink Guy,Pink Guy,Help
427,To D.R.E.A.M;Tory Lanez,Tory Lanez,To D.R.E.A.M
428,Scandalous;Prince,Prince,Scandalous
429,WEDDING DRESS;Taeyang,Taeyang,WEDDING DRESS
430,What You Know;Two Door Cinema Club,Two Door Cinema Club,What You Know
431,Like a Stone;Audioslave,Audioslave,Like a Stone
432,Wind;Dust,Dust,Wind
433,Kill Jill;Big Boi,Big Boi,Kill Jill
434,Next to Me;Emeli Sandé,Emeli Sandé,Next to Me
435,Jazz;Mick Jenkins,Mick Jenkins,Jazz
436,Headlock;Cousin Stizz,Cousin Stizz,Headlock
437,Day for Day;Kodak Black,Kodak Black,Day for Day
438,The One;JMSN,JMSN,The One
439,Let Me Love You;Mario,Mario,Let Me Love You
440,All the Way Down;Kelela,Kelela,All the Way Down
441,The Game;Jeezy,Jeezy,The Game
442,2! 3!;BTS,BTS,2! 3!
443,Swang;Rae Sremmurd,Rae Sremmurd,Swang
444,I'm Better;Lamb,Lamb,I'm Better
445,Long Train Runnin;The Doobie Brothers,The Doobie Brothers,Long Train Runnin
446,No Favors;Eminem,Eminem,No Favors
447,Only One;Paul McCartney,Paul McCartney,Only One
448,Hurt;Johnny Cash,Johnny Cash,Hurt
449,Weatherman;Kodak Black,Kodak Black,Weatherman
450,Buzzcut Season;Lorde,Lorde,Buzzcut Season
451,Keep It Mello;Marshmello,Marshmello,Keep It Mello
